Embed in the following aperture?;Intégrer dans l'ouverture suivante ?
Training area: Outer Horutoto Ruins.${prompt};Zone d'entraînement : ruines extérieures d'Horutoto.${prompt}
The map of Al Zahbi also includes Aht Urhgan Whitegate and the Colosseum. It costs ${number: 2} gil.${prompt};La carte d'Al Zahbi comprend également Aht Urhgan Whitegate et le Colisée.${number: 2}gil.${prompt}
Title: Spiritual★Star${prompt};Titre : Étoile spirituelle${prompt}
This is what you want, correct?${prompt};C'est ce que tu veux, n'est-ce pas ?${prompt}
Yer goin' wit' dial ${number: 1}, huh? Lessee what myst'ries await!;Tu vas avec le cadran${number: 1}, hein ? Voyez quels mystères vous attendent !
Prey: Fungus Beetle / Kills: ${number: 4}/${number: 0} ${prompt};Proie : Coléoptère champignon / Tues :${number: 4}${number: 0}${prompt}
Prey: Sabotender Corrido / Kills: ${number: 0} ${prompt};Proie : Sabotender Corrido / Tues :${number: 0}${prompt}
Training area: Temple of Uggalepih.${prompt};Zone d'entraînement : Temple d'Uggalepih.${prompt}
Staging Points.;Points de transit.
${number: 4}/${number: 0} ${choice-plurality: 4}[Goblin Meatgrinder/Goblin Meatgrinders].${prompt};${number: 4}${number: 0}${choice-plurality: 4}[Hachoir à viande gobelin/Hachoirs à viande gobelin].${prompt}
Whoawhoawhoa! If ya's got business wit' da box, ya foist gots business wit' me. Whatcha need?${prompt};Whoawhoawhoa ! Si tu as affaire avec la boîte, tu as affaire avec moi. De quoi as-tu besoin ?${prompt}
Wish we could help more, but we spend enormous amounts of energy on one floor already!${prompt};Nous aimerions pouvoir aider davantage, mais nous dépensons déjà énormément d’énergie sur un seul étage !${prompt}
${zone: 9[2]}.;${zone: 9[2]}
${title: 30[2]}.;${title: 30[2]}
Why, it's a miracle this tottering, tumble-down shanty--I mean, this beautiful abode of yours--is still standing, master!${prompt};Eh bien, c'est un miracle que cette cabane branlante et délabrée - je veux dire, cette belle demeure qui est la vôtre - soit encore debout, maître !${prompt}
${number: 4}/${number: 0} member${choice-plurality: 4}[/s] of the Quadav family.${prompt};${number: 4}${number: 0}membre${choice-plurality: 4}[/s] de la famille Quadav.${prompt}
Prey: Mucoid Mass / Kills: ${number: 0} ${prompt};Proie : Masse mucoïde / Tue :${number: 0}${prompt}
Should your fewell supply be in order, it's time to proceed with the synergy.;Si votre approvisionnement en essence est en ordre, il est temps de procéder à la synergie.
Prey: Citipati / Kills: ${number: 4}/${number: 0} ${prompt};Proie : Citipati / Tue :${number: 4}${number: 0}${prompt}
Abyss Armor.;Armure des Abysses.
Prey: Thunderclaw Thuban / Kills: ${number: 4}/${number: 0} ${prompt};Proie : Thuban Griffe-Tonnerre / Tue :${number: 4}${number: 0}${prompt}
1st (samurai).;1er (samouraï).
Apprentice.;Apprenti.
Prey: Sword Sorcerer Solisoq / Kills: ${number: 4}/${number: 0} ${prompt};Proie : Sorcier à l'épée Solisoq / Tue :${number: 4}${number: 0}${prompt}
The upcoming Ballista matches.;Les prochains matchs de Ballista.
You hand over the key item: ${keyitem-singular: 0[2]}.${prompt};Vous remettez l'élément clé :${keyitem-singular: 0[2]}${prompt}
${number: 3} gil.;${number: 3}gil.
Level 75 Puppetmaster.;Marionnettiste de niveau 75.
An aspiring synergist, I see!;Un synergiste en herbe, je vois !
Al Zahbi is no longer Besieged.${prompt};Al Zahbi n'est plus assiégé.${prompt}
Decline.;Déclin.
Up and away!;En haut et en route !
Now that the investigation of the Aht Urhgan Archaelogical Research Institute has drawn to a close, the ruins have been opened to the public.${prompt};Maintenant que l'enquête de l'Institut de recherche archéologique d'Aht Urhgan est terminée, les ruines ont été ouvertes au public.${prompt}
So I'll teach you about each one of them! Ask me what you want to know about, kupo!${prompt};Alors je vais vous en apprendre plus sur chacun d'eux ! Demandez-moi ce que vous voulez savoir, kupo !${prompt}
Back.;Dos.
Grauberg.;Grisberg.
Prey: Blighting Brand / Kills: ${number: 4}/${number: 0} ${prompt};Proie : Marque de fléau / Tue :${number: 4}${number: 0}${prompt}
${number: 0} ${choice-plurality: 0}[Carrion Worm/Carrion Worms].${prompt};${number: 0}${choice-plurality: 0}[Ver charognard/Vers charognards].${prompt}
Prey: Muq Shabeel / Kills: ${number: 0} ${prompt};Proie : Muq Shabeel / Tues :${number: 0}${prompt}
Learn about which match:;En savoir plus sur le match :
Dere we goes.${wait-36: 1};C'est là que nous allons.${wait-36: 1}
Prey: Voll the Sharkfinned / Kills: ${number: 4}/${number: 0} ${prompt};Proie : Voll le requin à nageoires / Tue :${number: 4}${number: 0}${prompt}
Prey: Aquarius / Kills: ${number: 0} ${prompt};Proie : Verseau / Tues :${number: 0}${prompt}
${number: 4}/${number: 0} ${choice-plurality: 4}[Barrens Treant/Barrens Treants].${prompt};${number: 4}${number: 0}${choice-plurality: 4}[Tréant des Terres arides/Tréants des Terres arides].${prompt}
Prey: Bu'Ghi Howlblade / Kills: ${number: 0} ${prompt};Proie : Bu'Ghi Hurleurlame / Tue :${number: 0}${prompt}
So ya be wantin' the ${choice: 0}[special/Adoulin/pictlogica/Wanted/campaign] dial?;Alors tu veux le${choice: 0}[special/Adoulin/pictlogica/Wanted/campaign] numérotation ?
Don't ask.;Ne demande pas.
Bhaflau Thickets.;Fourrés de Bhaflau.
Which item do you wish to purchase?;Quel article souhaitez-vous acheter ?
Prey: Picolaton / Kills: ${number: 4}/${number: 0} ${prompt};Proie : Picolaton / Tue :${number: 4}${number: 0}${prompt}
I can sell you a splendid entry-level model for ${number: 0} gil.;Je peux vous vendre un splendide modèle d'entrée de gamme pour${number: 0}gil.
Why, an accomplished adventurer like yourself surely has more stuff than you know what to do with.${prompt};Eh bien, un aventurier accompli comme vous a sûrement plus de choses que vous ne savez quoi en faire.${prompt}
Prey: Lord Ruthven / Kills: ${number: 0} ${prompt};Proie : Lord Ruthven / Tue :${number: 0}${prompt}
I fished this item out of the ${item-singular: 3[2]}, kupo!${prompt};J'ai pêché cet article dans le${item-singular: 3[2]}, coupon!${prompt}
The Derfland Region.;La région de Derfland.
Prey: Baobhan Sith / Kills: ${number: 4}/${number: 0} ${prompt};Proie : Baobhan Sith / Tue :${number: 4}${number: 0}${prompt}
...Superb! A quick learner, I see.;...Superbe ! Il apprend vite, je vois.
Here's your present--a shiny new Mog Safe, kupo! Now you can store as many as 60 items, kupo!${prompt};Voici votre cadeau : un nouveau coffre-fort Mog tout neuf, kupo ! Vous pouvez désormais stocker jusqu'à 60 objets, kupo !${prompt}
Ro'Maeve.;Ro'Maeve.
Go forth and frolic in your new abode, kupo!${prompt};Allez-y et gambadez dans votre nouvelle demeure, kupo !${prompt}
The forecast for tomorrow is for ${weather-noun: 0[2]} with occasional ${weather-noun: 1[2]}. There is also a slight chance of ${weather-noun: 2[2]}, so caution is advised.${prompt};Les prévisions pour demain sont pour${weather-noun: 0[2]}avec occasionnellement${weather-noun: 1[2]}Il existe également une légère chance de${weather-noun: 2[2]}, la prudence est donc de mise.${prompt}
After a certain amount of time, the Flamme will burn out and the opposing team's Flammen-Brenner will be relit.${prompt};Après un certain temps, la Flamme s'éteindra et le Flammen-Brenner de l'équipe adverse sera rallumé.${prompt}
${title: 17[2]}.;${title: 17[2]}
Prey: Baron Vapula / Kills: ${number: 4}/${number: 0} ${prompt};Proie : Baron Vapula / Tue :${number: 4}${number: 0}${prompt}
No...;Non...
Ain't synergy grand?${prompt};La synergie n’est-elle pas grandiose ?${prompt}
Prey: Energetic Eruca / Kills: ${number: 4}/${number: 0} ${prompt};Proie : Eruca énergique / Tue :${number: 4}${number: 0}${prompt}
We moogles have very good intuition, kupo!;Nous, les moogs, avons une très bonne intuition, kupo !
Of my melodic cantillation.♪${prompt};De ma cantillation mélodique.♪${prompt}
${zone: 2[2]} #${number: 18}.;${zone: 2[2]}${number: 18}
Teleporting to ${choice: 0}[Ronfaure/Zulkheim/Norvallen/Gustaberg/Derfland/Sarutabaruta/Kolshushu/Aragoneu/Fauregandi/Valdeaunia/Qufim/Li'Telor/Kuzotz/Vollbow/the Elshimo Lowlands/the Elshimo Uplands/Tu'Lia/the Tavnazian Archipelago]!${prompt};Téléportation vers${choice: 0}[Ronfaure/Zulkheim/Norvallen/Gustaberg/Derfland/Sarutabaruta/Kolshushu/Aragoneu/Fauregandi/Valdeaunia/Qufim/Li'Telor/Kuzotz/Vollbow/les basses terres d'Elshimo/les hautes terres d'Elshimo/Tu'Lia/l'archipel de Tavnaz] !${prompt}
Prey: Ixtab / Kills: ${number: 4}/${number: 0} ${prompt};Proie : Ixtab / Tue :${number: 4}${number: 0}${prompt}
Prey: Fraelissa / Kills: ${number: 4}/${number: 0} ${prompt};Proie : Fraelissa / Tue :${number: 4}${number: 0}${prompt}
Prey: Chariotbuster Byakzak / Kills: ${number: 4}/${number: 0} ${prompt};Proie : Chariotbuster Byakzak / Tue :${number: 4}${number: 0}${prompt}
${choice: 7}[View which set?/Remove which set?];${choice: 7}[Afficher quel ensemble ?/Supprimer quel ensemble ?]
Prey: Sozu Bliberry / Kills: ${number: 0} ${prompt};Proie : Sozu Bliberry / Tue :${number: 0}${prompt}
Prey: Erebus / Kills: ${number: 0} ${prompt};Proie : Erebus / Tue :${number: 0}${prompt}
Training area: North Gustaberg.${prompt};Zone d'entraînement : Nord Gustaberg.${prompt}
Training area: Garlaige Citadel.${prompt};Zone d'entraînement : Citadelle de Garlaige.${prompt}
Luck is on your side, kupo!;La chance est de ton côté, kupo !
It's plain as day to us moogles, so don't even think of trying to pull one over on us, kupo.${prompt};C'est clair comme le jour pour nous, les moogs, alors n'essayez même pas de nous duper, kupo.${prompt}
Prey: Mycophile / Kills: ${number: 0} ${prompt};Proie : Mycophile / Tue :${number: 0}${prompt}
Prey: Maltha / Kills: ${number: 4}/${number: 0} ${prompt};Proie : Maltha / Tue :${number: 4}${number: 0}${prompt}
Prey: Peallaidh / Kills: ${number: 0} ${prompt};Proie : Peallaidh / Tue :${number: 0}${prompt}
Prey: Nis Puk / Kills: ${number: 0} ${prompt};Proie : Nis Puk / Tue :${number: 0}${prompt}
That doesn't sound so hard, now, does it?${prompt};Cela ne semble pas si difficile, n'est-ce pas ?${prompt}
Your stories of love, anger, triumph, and shame,;Vos histoires d’amour, de colère, de triomphe et de honte,
Prey: Myradrosh / Kills: ${number: 4}/${number: 0} ${prompt};Proie : Myradrosh / Tue :${number: 4}${number: 0}${prompt}
Level 60 matches: 51～60;Matchs de niveau 60 : 51 à 60
Should you ever wish to remove any apertures and embedded evolith from a piece of equipment entirely, you may do so with an ingredient we call ${color: 5}revertant${color: 1}.${prompt};Si jamais vous souhaitez supprimer complètement les ouvertures et les évolithes incrustés d'un équipement, vous pouvez le faire avec un ingrédient que nous appelons${color: 5}révertant${color: 1}${prompt}
1st (white mage).;1er (mage blanc).
in the annals of mooglekind...${prompt};dans les annales de Mooglekind...${prompt}
Title: Singing★Star${prompt};Titre : Chant★Star${prompt}
${number: 0} ${choice-plurality: 0}[Peak Pugil/Peak Pugils].${prompt};${number: 0}${choice-plurality: 0}[Pugil de pointe/Pugils de pointe].${prompt}
${color-alt: 15}${name-player}'s badge flashes brightly.${prompt};${color-alt: 15}${name-player}Le badge de 's clignote vivement.${prompt}
Trade cinder.;Commerce de cendres.
Level 30 matches: 1～30${prompt};Matchs de niveau 30 : 1 à 30${prompt}
Prey: Ellyllon / Kills: ${number: 4}/${number: 0} ${prompt};Proie : Ellyllon / Tue :${number: 4}${number: 0}${prompt}
${number: 0} member${choice-plurality: 0}[/s] of the evil weapon family.${prompt};${number: 0}membre${choice-plurality: 0}[/s] de la famille des armes maléfiques.${prompt}
${number: 4}/${number: 0} ${choice-plurality: 4}[Thread Leech/Thread Leeches].${prompt};${number: 4}${number: 0}${choice-plurality: 4}[Sangsues de fil/Sangsues de fil].${prompt}
Prey: Frostmane / Kills: ${number: 0} ${prompt};Proie : Frostmane / Tue :${number: 0}${prompt}
Prey: Mind Hoarder / Kills: ${number: 4}/${number: 0} ${prompt};Proie : Accumulateur d'esprit / Tue :${number: 4}${number: 0}${prompt}
Look what I found in your ${item-singular: 3[2]}!${prompt};Regarde ce que j'ai trouvé dans ton${item-singular: 3[2]}${prompt}
Home Point #2${choice: 2}[/ (M)/ (A)/ (E)].;Point d'accueil n°2${choice: 2}[/ (M)/ (A)/ (E)].
Prey: Asphyxiated Amsel / Kills: ${number: 4}/${number: 0} ${prompt};Proie : Amsel asphyxié / Tue :${number: 4}${number: 0}${prompt}
Prey: Black Triple Stars / Kills: ${number: 0} ${prompt};Proie : Étoiles triples noires / Tueries :${number: 0}${prompt}
Recruit.;Recruter.
You have a ${keyitem-singular: 0[2]}?;Vous avez un${keyitem-singular: 0[2]}
Prey: Helldiver / Kills: ${number: 0} ${prompt};Proie : Helldiver / Tue :${number: 0}${prompt}
Training area: The Shrine of Ru'Avitau.${prompt};Zone d'entraînement : Le Sanctuaire de Ru'Avitau.${prompt}
Prey: Ankou / Kills: ${number: 0} ${prompt};Proie : Ankou / Tues :${number: 0}${prompt}
Level 75 Beastmaster.;Maître des bêtes de niveau 75.
You'll be needing at least one unit of fewell for each element dictated by your recipe.;Vous aurez besoin d'au moins une unité de fewell pour chaque élément dicté par votre recette.
Heavens Tower.;Tour des cieux.
For example, only skilled smiths will be able to comprehend the method for more efficient fewell feeding.${prompt};Par exemple, seuls les forgerons qualifiés seront en mesure de comprendre la méthode permettant d'obtenir une alimentation plus efficace des fûts.${prompt}
${number: 4}/${number: 0} ${choice-plurality: 4}[Deimobugard/Deimobugards].${prompt};${number: 4}${number: 0}${choice-plurality: 4}[Deimobugard/Deimobugards].${prompt}
(Entering an invalid figure will abort the process.);(La saisie d'un chiffre non valide annulera le processus.)
The Mamool Ja Savages have taken the Astral Candescence.${prompt};Les Mamool Ja Savages ont pris la Candescence Astrale.${prompt}
Prey: Drumskull Zogdregg / Kills: ${number: 0} ${prompt};Proie : Drumskull Zogdregg / Tue :${number: 0}${prompt}
It is a discipline full of heretofore unimagined possibilities, but one which demands consummate skill from its practitioners.${prompt};C’est une discipline pleine de possibilités jusqu’alors inimaginables, mais qui exige une compétence consommée de la part de ses praticiens.${prompt}
The Mamool Ja Savages have retreated.${prompt};Les Mamool Ja Savages se sont retirés.${prompt}
${number: 0} member${choice-plurality: 0}[/s] of the pugil family.${prompt};${number: 0}membre${choice-plurality: 0}[/s] de la famille pugil.${prompt}
Attohwa Chasm.;Gouffre d'Attohwa.
Prey: Sabotender Mariachi / Kills: ${number: 4}/${number: 0} ${prompt};Proie : Sabotender Mariachi / Tues :${number: 4}${number: 0}${prompt}
Prey: Marquis Naberius / Kills: ${number: 0} ${prompt};Proie : Marquis Naberius / Tue :${number: 0}${prompt}
${number: 0} ${choice-plurality: 0}[Hoarmite/Hoarmites].${prompt};${number: 0}${choice-plurality: 0}[Hoarmite/Hoarmites].${prompt}
Training area: Garlaige Citadel (S).${prompt};Zone d'entraînement : Citadelle de Garlaige (S).${prompt}
Prey: Gloomanita / Kills: ${number: 0} ${prompt};Proie : Gloomanita / Tue :${number: 0}${prompt}
Prey: Epialtes / Kills: ${number: 4}/${number: 0} ${prompt};Proie : Epialtes / Tue :${number: 4}${number: 0}${prompt}
Combat Caster's Cloak.;Cape de lanceur de combat.
Prey: Ogama / Kills: ${number: 0} ${prompt};Proie : Ogama / Tue :${number: 0}${prompt}
And check your title, too, oh worthy one.♪${prompt};Et vérifie aussi ton titre, oh digne.♪${prompt}
1st (rune fencer).;1er (escrimeur runique).
Yigit Armor Set.${prompt};Ensemble d'armure Yigit.${prompt}
Prey: Herensugue / Kills: ${number: 0} ${prompt};Proie : Herensugue / Tue :${number: 0}${prompt}
West Ronfaure.;Ronfaure Ouest.
${number: 4}/${number: 0} ${choice-plurality: 4}[Benumbed Vodoriga/Benumbed Vodorige].${prompt};${number: 4}${number: 0}${choice-plurality: 4}[Vodoriga engourdie/Vodorige engourdie].${prompt}
And finally, participation fees are:;Et enfin, les frais de participation sont :
Your ${choice: 1}[fishing/woodworking/smithing/goldsmithing/clothcraft/leatherworking/bonecraft/alchemy/cooking] skills went up ${choice: 2}[a little/ever so slightly/ever so slightly].${prompt};Ton${choice: 1}[Les compétences en pêche/travail du bois/forge/orfèvrerie/tissu/maroquinerie/ossature/alchimie/cuisine] se sont améliorées${choice: 2}[un peu/très légèrement/très légèrement].${prompt}
Regulations do not allow adventurers to store more than one set of the same armor.${prompt};La réglementation n'autorise pas les aventuriers à stocker plus d'un ensemble de la même armure.${prompt}
All merit point categories will be increased to their maximum values.${prompt};Toutes les catégories de points de mérite seront augmentées jusqu’à leurs valeurs maximales.${prompt}
${number: 0} member${choice-plurality: 0}[/s] of the Quadav family.${prompt};${number: 0}membre${choice-plurality: 0}[/s] de la famille Quadav.${prompt}
So, a ${color: 5}Petra${color: 1} has been obtained and a ${color: 5}Rook${color: 1} located. Now all that's left is tossing the stone in, right? Wrong.${prompt};Alors, un${color: 5}Pétra${color: 1}a été obtenu et un${color: 5}Tour${color: 1}situé. Maintenant, il ne reste plus qu'à jeter la pierre, n'est-ce pas ? Faux.${prompt}
Noct Doublet.${prompt};Doublet Noct.${prompt}
The participants must utilize this chance to seize the Flamme before the grate recloses. Once the grate is closed, the Flammen-Brenner will begin recovering from the damage it has been dealt.${prompt};Les participants doivent profiter de cette opportunité pour s'emparer de la Flamme avant que la grille ne se referme. Une fois la grille refermée, le Flammen-Brenner commencera à se remettre des dégâts qui lui ont été infligés.${prompt}
Prey: Verthandi / Kills: ${number: 0} ${prompt};Proie : Verthandi / Tue :${number: 0}${prompt}
${title: 19[2]}.;${title: 19[2]}
Now you know the nitty-gritty, so enjoy your new floor, kupo!${prompt};Vous connaissez maintenant l'essentiel, alors profitez de votre nouveau sol, kupo !${prompt}
The next scheduled Ballista match is:;Le prochain match Ballista prévu est :
${number: 4}/${number: 0} ${choice-plurality: 4}[Sub-zero Gear/Sub-zero Gears].${prompt};${number: 4}${number: 0}${choice-plurality: 4}[Engrenages sous zéro/Engrenages sous zéro].${prompt}
It's a shame, but it appears your ${item-singular: 0[2]} cannot be etched.${prompt};C'est dommage, mais il semble que votre${item-singular: 0[2]}ne peut pas être gravé.${prompt}
Hello, ${choice-player-gender}[sir/ma'am]. Have you ever found yourself throwing away items because your Mog Safe is overflowing with dusty sets of armor collected on your many adventures? My colleagues and I have heard the cries of our fellow adventurers and joined together to aid all those in need.${prompt};Bonjour,${choice-player-gender}[monsieur/madame]. Vous est-il déjà arrivé de jeter des objets parce que votre coffre-fort Mog débordait d'armures poussiéreuses récupérées au cours de vos nombreuses aventures ? Mes collègues et moi avons entendu les cris de nos compagnons d'aventure et nous sommes unis pour aider tous ceux qui en avaient besoin.${prompt}
${number: 0} ${choice-plurality: 0}[Surveyor/Surveyors].${prompt};${number: 0}${choice-plurality: 0}[Géomètre/Géomètres].${prompt}
${choice: 1}[Fauregandi/East. Ulbuka].;${choice: 1}[Fauregandi/Est. Ulbuka].
Prey: Eldritch Edge / Kills: ${number: 4}/${number: 0} ${prompt};Proie : Eldritch Edge / Tue :${number: 4}${number: 0}${prompt}
This map shows Bhaflau Thickets, lying to the north of Al Zahbi. It costs ${number: 3} gil.${prompt};Cette carte montre les fourrés de Bhaflau, situés au nord d'Al Zahbi.${number: 3}gil.${prompt}
...See, you take this part here, and...;...Voyez, vous prenez cette partie ici, et...
Bastok Mines.;Mines de Bastok.
For your own safety, it is recommended you set the Mog House exit as your home point after changing jobs.${prompt};Pour votre propre sécurité, il est recommandé de définir la sortie de Mog House comme point d'arrivée après avoir changé d'emploi.${prompt}
The closer you are to the ideal elemental balance, the higher the quality of your finished product will be.;Plus vous êtes proche de l’équilibre élémentaire idéal, plus la qualité de votre produit fini sera élevée.
The capacity of your Mog Safe has increased!${prompt};La capacité de votre Mog Safe a augmenté !${prompt}
Prey: Buarainech / Kills: ${number: 4}/${number: 0} ${prompt};Proie : Buarainech / Tue :${number: 4}${number: 0}${prompt}
It has da taste o' a picky peiste--it feasts upon nothin' but da rarest and unique-est o' artifacts.${prompt};Il a le goût d'un poisson difficile - il ne se régale que des artefacts les plus rares et les plus uniques.${prompt}
Yes, please.;Oui s'il vous plait.
Also, you will be informed of all the latest match information when entering select cities.${prompt};De plus, vous serez informé de toutes les dernières informations sur les matchs lors de votre entrée dans certaines villes.${prompt}
Koga Garb.;Tenue de Koga.
I have some questions...;J'ai quelques questions...
Prey: Bigmouth Billy / Kills: ${number: 0} ${prompt};Proie : Bigmouth Billy / Tue :${number: 0}${prompt}
Prey: Skull of Pride / Kills: ${number: 4}/${number: 0} ${prompt};Proie : Crâne de fierté / Tue :${number: 4}${number: 0}${prompt}
This gate guards an area under Imperial control.${prompt};Cette porte garde une zone sous contrôle impérial.${prompt}
Edit main job level.;Modifier le niveau de travail principal.
Prey: Manipulator / Kills: ${number: 4}/${number: 0} ${prompt};Proie : Manipulateur / Tue :${number: 4}${number: 0}${prompt}
Anywho, ya's wanna wait 'n wait 'n wait, den keep on waitin' some more.;Quoi qu'il en soit, vous voulez attendre, attendre, attendre, alors continuez à attendre encore plus.
Prey: Skuld / Kills: ${number: 4}/${number: 0} ${prompt};Proie : Skuld / Tues :${number: 4}${number: 0}${prompt}
Prey: Blubbery Bulge / Kills: ${number: 4}/${number: 0} ${prompt};Proie : Renflement graisseux / Tue :${number: 4}${number: 0}${prompt}
${number: 0} ${choice-plurality: 0}[Gastornis/Gastornes].${prompt};${number: 0}${choice-plurality: 0}[Gastornis/Gastornes].${prompt}
Dun think that I's be a gil-grubbin' good-fer-nuthin'. If'n ya dun wanna open any dial, then I gives ya back yer ${item-singular: 0[2]}.${wait-35: 1}${prompt};Je ne pense pas que je sois un bon à rien qui cherche à s'en sortir. Si tu ne veux pas ouvrir un cadran, alors je te rends ton argent.${item-singular: 0[2]}${wait-35: 1}${prompt}
Carapace Armor.;Armure de carapace.
1st (overall).;1er (au classement général).
Prey: Edacious Opo-opo / Kills: ${number: 0} ${prompt};Proie : Opo-opo éphémère / Tue :${number: 0}${prompt}
Hmm...;Hmm...
The rules of Brenner.;Les règles du Brenner.
Melee Attire.;Tenue de mêlée.
1st (blue mage).;1er (mage bleu).
${number: 0} ${choice-plurality: 0}[Aura Pot/Aura Pots].${prompt};${number: 0}${choice-plurality: 0}[Pot d'aura/Pot d'aura].${prompt}
Prey: Valkurm Emperor / Kills: ${number: 4}/${number: 0} ${prompt};Proie : Empereur Valkurm / Tue :${number: 4}${number: 0}${prompt}
Prey: Ghillie Dhu / Kills: ${number: 0} ${prompt};Proie : Ghillie Dhu / Tue :${number: 0}${prompt}
Now let us return to the synergy process itself.;Revenons maintenant au processus de synergie lui-même.
${number: 4}/${number: 0} ${choice-plurality: 4}[Cursed Puppet/Cursed Puppets].${prompt};${number: 4}${number: 0}${choice-plurality: 4}[Marionnette maudite/Marionnettes maudites].${prompt}
Prey: Lamprey Lord / Kills: ${number: 4}/${number: 0} ${prompt};Proie : Seigneur Lamproie / Tue :${number: 4}${number: 0}${prompt}
Change music?;Changer de musique ?
Excellent! That motivation will serve you well.${prompt};Excellent ! Cette motivation vous sera très utile.${prompt}
Prey: Habrok / Kills: ${number: 4}/${number: 0} ${prompt};Proie : Habrok / Tue :${number: 4}${number: 0}${prompt}
Prey: Hemodrosophila / Kills: ${number: 0} ${prompt};Proie : Hemodrosophila / Tue :${number: 0}${prompt}
This Mog House is your very own room, kupo! But it's still a little bare, kupo...${prompt};Cette maison Mog est ta propre chambre, kupo ! Mais elle est encore un peu vide, kupo...${prompt}
Prey: Geyser Lizard / Kills: ${number: 4}/${number: 0} ${prompt};Proie : Lézard du geyser / Tue :${number: 4}${number: 0}${prompt}
Prey: Blobdingnag / Kills: ${number: 4}/${number: 0} ${prompt};Proie : Blobdingnag / Tue :${number: 4}${number: 0}${prompt}
${number: 4}/${number: 0} ${choice-plurality: 4}[Bluffalo/Bluffaloes].${prompt};${number: 4}${number: 0}${choice-plurality: 4}[Bluffalo/Bluffaloes].${prompt}
No way.${prompt};Certainement pas.${prompt}
Synergy furnaces have been installed throughout the city for the use of all synergists.;Des fours Synergy ont été installés partout dans la ville pour l’usage de tous les synergistes.
As for materials, you'll be needing...${prompt};Côté matériel, vous aurez besoin de...${prompt}
Prey: Jaded Jody / Kills: ${number: 4}/${number: 0} ${prompt};Proie : Jaded Jody / Tue :${number: 4}${number: 0}${prompt}
Now I bet you're wondering what the catch is, kupo.;Maintenant, je parie que vous vous demandez quel est le piège, kupo.
I see from the puzzled expression on your face that you are unfamiliar with our discipline.;Je vois à l’expression perplexe de votre visage que vous n’êtes pas familier avec notre discipline.
${title: 26[2]}.;${title: 26[2]}
${name-player} has attuned ${choice-player-gender}[himself/herself] to the runic portal, and opened a path from the Mamool Ja staging point to the Chamber of Passage.;${name-player}s'est accordé${choice-player-gender}[lui-même/elle-même] au portail runique et a ouvert un chemin depuis le point de rassemblement de Mamool Ja jusqu'à la Chambre de Passage.
${number: 4}/${number: 0} member${choice-plurality: 4}[/s] of the worm family.${prompt};${number: 4}${number: 0}membre${choice-plurality: 4}[/s] de la famille des vers.${prompt}
Training area: Yuhtunga Jungle.${prompt};Zone d'entraînement : Jungle de Yuhtunga.${prompt}
Out of moonbeams and thin air.♪${prompt};À partir des rayons de lune et de l'air raréfié.♪${prompt}
Western Altepa Desert.;Désert occidental d'Altepa.
Page ${choice: 0}[5/13/21/29/37/45/53/61/69/77/85/93/101/109/117/125].;Page${choice: 0}[5/13/21/29/37/45/53/61/69/77/85/93/101/109/117/125].
Title: Savage★Star${prompt};Titre : Savage★Star${prompt}
2, 4, 6 -> Lv. 30;2, 4, 6 -> Niv. 30
Prey: Ophion / Kills: ${number: 4}/${number: 0} ${prompt};Proie : Ophion / Tue :${number: 4}${number: 0}${prompt}
Prey: Skirling Liger / Kills: ${number: 4}/${number: 0} ${prompt};Proie : Skirling Liger / Tue :${number: 4}${number: 0}${prompt}
${number: 0} member${choice-plurality: 0}[/s] of the shadow family.${prompt};${number: 0}membre${choice-plurality: 0}[/s] de la famille de l'ombre.${prompt}
Fortunately, synergy furnaces are outfitted with a wide array of features designed to aid the synergist in this demanding task.;Heureusement, les fours synergiques sont équipés d’un large éventail de fonctionnalités conçues pour aider le synergiste dans cette tâche exigeante.
However, high concentrations of elemental power can lead to volatile and unpredictable reactions.;Cependant, de fortes concentrations de puissance élémentaire peuvent conduire à des réactions volatiles et imprévisibles.
I'm sure!;Je suis sûr!
Prey: Prince Orobas / Kills: ${number: 0} ${prompt};Proie : Prince Orobas / Tues :${number: 0}${prompt}
Vunkerl Inlet.;Entrée de Vunkerl.
Soil Gi.;Sol Gi.
Adjust the storage slip?;Ajuster le bordereau de stockage ?
Treasures of Aht Urhgan areas.;Trésors des régions d'Aht Urhgan.
Iron Scale Armor.;Armure en écailles de fer.
Foret de Hennetiel.;Forêt de Hennetiel.
Prey: Nocuous Weapon / Kills: ${number: 0} ${prompt};Proie : Arme nocive / Tue :${number: 0}${prompt}
Prey: Sekhmet / Kills: ${number: 0} ${prompt};Proie : Sekhmet / Tue :${number: 0}${prompt}
As a general rule, the higher the level of the item in question, the more difficult the synergy process for creating an aperture will be.${prompt};En règle générale, plus le niveau de l’élément en question est élevé, plus le processus de synergie pour créer une ouverture sera difficile.${prompt}
The side that succeeds in lighting all of its Flammen-Brenner will be declared the winner after a specified amount of time.${prompt};L'équipe qui réussit à allumer tous ses Flammen-Brenner sera déclarée vainqueur après un laps de temps déterminé.${prompt}
${number: 0} ${choice-plurality: 0}[Enkidu/Enkidus].${prompt};${number: 0}${choice-plurality: 0}[Enkidu/Enkidus].${prompt}
