The ${color: 5}sprint${color: 1} (/sprint) ability can be used to increase the player's speed when not in possession of a Flamme or Petras.${prompt};
Prey: Patripatan / Kills: ${number: 4}/${number: 0} ${prompt};
Level 75 Dark Knight.;
Prey: Stray Mary / Kills: ${number: 4}/${number: 0} ${prompt};
So until that time, my kind offer will last.${prompt};
Rewards.;
You can speak to me to borrow or return the shovel at any time.${prompt};
Prey: Rogue Receptacle / Kills: ${number: 4}/${number: 0} ${prompt};
Healer's Attire.;
${number: 0} ${choice-plurality: 0}[Dune Manticore/Dune Manticores].${prompt};
14, 16, 18 -> Lv. 50;
The goal is to steal your opponent's Flamme and use them to light your side's Flammen-Brenner.${prompt};
You have used ${number: 1} ${choice-plurality: 1}[point/points] of your daily tally!${prompt};
TB: ${number: 31}${prompt};
Synergy recipes.;
Prey: Ravenous Crawler / Kills: ${number: 0} ${prompt};
${number: 0} ${choice-plurality: 0}[Sub-zero Gear/Sub-zero Gears].${prompt};
Prey: Yal-un Eke / Kills: ${number: 4}/${number: 0} ${prompt};
Prey: Hyakinthos / Kills: ${number: 0} ${prompt};
Prey: Unut / Kills: ${number: 0} ${prompt};
Prey: Tegmine / Kills: ${number: 4}/${number: 0} ${prompt};
Title: Striking★Star${prompt};
Prey: Hawkeyed Dnatbat / Kills: ${number: 0} ${prompt};
Prey: Wake Warder Wanda / Kills: ${number: 0} ${prompt};
Open entries.;
You may purchase up to ${number: 2} at a time.;
Cancel purchase.${prompt};
Finally, it would be remiss of me not to make mention of ${item-singular: 0[2]}, the curious substance whose properties are only now--with the emergence of synergy--becoming known to us.${prompt};
If you lose your ${item-singular: 0[2]} while storing a corresponding item, you will be forever unable to retrieve that item!${prompt};
${number: 4}/${number: 0} ${choice-plurality: 4}[River Crab/River Crabs].${prompt};
Prey: Humbaba / Kills: ${number: 4}/${number: 0} ${prompt};
Level 75 Paladin.;
Drachen Armor.;
Title: Sable★Star${prompt};
${number: 4}/${number: 0} ${choice-plurality: 4}[Sensenmann/Sensenmanner].${prompt};
Return the ${keyitem-singular: 0[2]}?;
Prey: Duke Decapod / Kills: ${number: 0} ${prompt};
Teleport to key locations.;
Warrior's Armor.;
Enter.;
Training area: Aydeewa Subterrane.${prompt};
But have no fear! Sit tight and you'll see why I'm the most renowned handymoogle in the three nations!${prompt};
Yorcia Weald.;
And because I like your enthusiasm, I've even stocked it to the brim with fewell for you!;
Training area: Palborough Mines.${prompt};
Borrow/Return ${keyitem-article: 4[2]}.${prompt};
1st (ranger).;
Recast timers will be reset, allowing you to use all abilities.${prompt};
${color: 5}Petras${color: 1} can be buried anywhere. Once a player believes he or she has found one, the ${color: 5}Quarry${color: 1} (/quarry) command should be used to dig up the area at his or her feet.${prompt};
Then you've come to the right place!${prompt};
As marvelous an apparatus as the synergy furnace may be, keep in mind that the technology is still in its infancy, and highly unstable.;
${name-player}!${prompt};
What? Ya thinks ya could do better wit' one o' dese Gobbie masks on!?${prompt};
Prey: Zikko / Kills: ${number: 4}/${number: 0} ${prompt};
Prey: Skirling Liger / Kills: ${number: 0} ${prompt};
So as not to disappoint you, there are a few!${prompt};
${zone: 2[2]}.;
I wonder who it could be from, kupo!${prompt};
Not today.${prompt};
Prey: Hoar-knuckled Rimberry / Kills: ${number: 0} ${prompt};
Prey: Dahu / Kills: ${number: 4}/${number: 0} ${prompt};
Prey: Wounded Wurfel / Kills: ${number: 4}/${number: 0} ${prompt};
Today, the weather in that area will be ${weather-adjective: 0[2]}. There is also the possibility of ${weather-noun: 2[2]}, so caution is advised.${prompt};
Wonder Armor (Tarutaru).;
The hallowed halls of your house are even more exciting!;
Garish Tunic.;
Training area: Sauromugue Champaign (S).${prompt};
Little did anyone suspect that this;
TEST-No.${number: 1}${prompt};
If so, you've come to the right place!${prompt};
Prey: Sagittarius X-XIII / Kills: ${number: 4}/${number: 0} ${prompt};
Title: Mythril Balli☆☆☆star${prompt};
${number: 0}${prompt};
I guess you never know what you're going to find until you look for it, kupo!${prompt};
Fortunately, there are multiple furnaces installed throughout town.;
Prey: Eyegouger / Kills: ${number: 4}/${number: 0} ${prompt};
Alumine Haubert.;
In the event of a KO, you will be returned to your team's camp. However, recovery will take longer the more often you fall in battle.${prompt};
Prey: Serpopard Ishtar / Kills: ${number: 0} ${prompt};
Players will only be allowed to score up to five ${color: 5}Petras${color: 1} at a time. Also, a player's ${color: 5}Gate Breach${color: 1} status will be automatically disengaged if a ${color: 5}Petra${color: 1} is not scored within a certain amount of time. The amount of time is increased for those members of the team currently behind in points.${prompt};
${choice: 1}[Vollbow/].;
Prey: Abatwa / Kills: ${number: 4}/${number: 0} ${prompt};
Prey: Balam-Quitz / Kills: ${number: 4}/${number: 0} ${prompt};
Prey: Bloodpool Vorax / Kills: ${number: 4}/${number: 0} ${prompt};
Prey: Magnotaur / Kills: ${number: 4}/${number: 0} ${prompt};
You have not yet registered any other home points, and thus are unable to teleport.${prompt};
Oh...;
I'm sorry. I wasn't listening. Could you start over from the beginning?${prompt};
${zone: 5[2]}.;
Meriphataud Mountains.;
“LS Liga” is a form of private match. You can learn more about LS Liga by speaking to a Marshal.${prompt};
Scholar's Attire.;
Prey: Bugbear Strongman / Kills: ${number: 0} ${prompt};
${number: 4}/${number: 0} member${choice-plurality: 4}[/s] of the bee family.${prompt};
Prey: Citadel Pipistrelles / Kills: ${number: 0} ${prompt};
Level 75 Monk.;
The synergy furnaces you see around town are provided as a public service by the Bastokan Institute of Synergy Research, to ensure that no synergist is ever far away from the tools of their trade.${prompt};
${number: 4}/${number: 0} ${choice-plurality: 4}[Camelopardalis/Camelopardalii].${prompt};
Ninja Garb.;
Have stored armor returned.${prompt};
${number: 4}/${number: 0} ${choice-plurality: 4}[Adasaurus/Adasauruses].${prompt};
No, thanks.${prompt};
${number: 0} ${choice-plurality: 0}[Young Opo-opo/Young Opo-opos].${prompt};
Your fewell supply would appear to be as follows:;
The lease on your Mog Locker has expired, kupo.;
Prey: Tococo / Kills: ${number: 0} ${prompt};
Prey: Arioch / Kills: ${number: 4}/${number: 0} ${prompt};
Temple Attire.;
Prey: Amikiri / Kills: ${number: 4}/${number: 0} ${prompt};
However, if you still wish to take part in Ballista, participation in matches held within Diorama Abdhaljs-Ghelsba is open to all citizens of Vana'diel.${prompt};
If you type “/ae Hello!”, then your message will be heard by many people.${prompt};
Once modified by moogle magick, your parameters cannot be restored to their prior state!${prompt};
Prey: Daggerclaw Dracos / Kills: ${number: 0} ${prompt};
Prey: Epialtes / Kills: ${number: 0} ${prompt};
You seem quite dehydrated lately, so maybe you should have it.;
So ya be wantin' the special dial?${wait-36: 2};
My current setting.;
Prey: Peg Powler / Kills: ${number: 4}/${number: 0} ${prompt};
Prey: Metal Shears / Kills: ${number: 4}/${number: 0} ${prompt};
What is your business?;
Pantin Attire.;
Port Jeuno.;
The beastmen have taken the Astral Candescence.${prompt};
Etoile Attire.;
Prey: Crystal Eater / Kills: ${number: 0} ${prompt};
Storage slips come in numerous varieties, kupo, each corresponding to a different type of item.${prompt};
Prey: Dyinyinga / Kills: ${number: 4}/${number: 0} ${prompt};
A ${item-singular: 2[2]}-shaped aperture, to be exact...${prompt};
You may use one of the instruments in your Mog House to play a different tune.${prompt};
Your Mog Locker lease is valid until ${ts-year: 0}/${ts-month: 0}/${ts-day: 0} ${ts-hour: 0}:${ts-minute: 0}:${ts-second: 0}, kupo.${prompt};
${number: 4}/${number: 0} ${choice-plurality: 4}[Sierra Tiger/Sierra Tigers].${prompt};
The sun beats down mercilessly in the land beyond the west sea, so I need to take ${article} ${item-article: 5[2]} for my friends there, kupo!${prompt};
Will my benevolent master give ${choice-player-gender}[his/her] moogle some time off to visit with Mama and Papa Moogle, kupo?${prompt};
Do you want me to teach you about your Mog House again, kupo?${prompt};
Prey: Sarcopsylla / Kills: ${number: 4}/${number: 0} ${prompt};
Unlocked jobs will be reflected upon leaving the Mog House.;
I'll tell you all about your Mog House, kupo!${prompt};
You strike me as a ${choice-player-gender}[man/woman] who's looking to learn a thing or two about synergy.${prompt};
${color-alt: 121}All items on the ${item-singular: 0[2]} have been entrusted!;
${choice: 33}[Add to favorites/Remove from favorites].${prompt};
North Gustaberg.;
Training area: Beadeaux.${prompt};
${title: 23[2]}.;
1st (monk).;
Too many culinarians might spoil the broth, but when it comes to synergy, it's the more the merrier!${prompt};
But...I haven't the foggiest idea of how to get either of these things, kupo...;
Prey: Timeworn Warrior / Kills: ${number: 4}/${number: 0} ${prompt};
Prey: Odqan / Kills: ${number: 0} ${prompt};
Replenish fewell.;
Prey: Duke Focalor / Kills: ${number: 0} ${prompt};
Ceizak Battlegrounds.;
Prey: Likho / Kills: ${number: 4}/${number: 0} ${prompt};
Nothing.${prompt};
Prey: Zuug the Shoreleaper / Kills: ${number: 0} ${prompt};
...Er, let's try that once more...${prompt};
To truly master synergy, one must master crafting as well.${prompt};
The more complex the recipe, the greater the quantity of fewell required.${prompt};
Prey: Scitalis / Kills: ${number: 4}/${number: 0} ${prompt};
${number: 0} ${choice-plurality: 0}[Glade Wivre/Glade Wivres].${prompt};
Zilart Missions.;
Prey: Dame Blanche / Kills: ${number: 4}/${number: 0} ${prompt};
Word has it that there are also pieces of equipment that can impart hidden synergy techniques to the wearer.;
Synergy remains a young discipline, and researchers back at the institute are burning the midnight fewell in the hopes of uncovering the next breakthrough in our field.${prompt};
You may think of synergy as an evolved form of synthesis.;
Prey: Spiny Spipi / Kills: ${number: 4}/${number: 0} ${prompt};
${choice: 1}[Kolshushu/Fauregandi Front].;
A quick look at its composition should tell us all we need to know.;
Iron Chainmail.;
Well, there's nothing to be learned lollygagging around here.;
${name-player} has attuned ${choice-player-gender}[himself/herself] to the runic portal, and opened a path from the Dvucca Isle staging point to the Chamber of Passage.;
${number: 0} ${choice-plurality: 0}[Grass Funguar/Grass Funguars].${prompt};
Okay, kupo!;
Prey: Flauros / Kills: ${number: 0} ${prompt};
${number: 4}/${number: 0} ${choice-plurality: 4}[Grass Funguar/Grass Funguars].${prompt};
Prey: Coquecigrue / Kills: ${number: 4}/${number: 0} ${prompt};
Training area: Eastern Altepa Desert.${prompt};
Clear contents.${prompt};
Prey: Shadow Eye / Kills: ${number: 0} ${prompt};
Job Level.;
Prey: Splacknuck / Kills: ${number: 4}/${number: 0} ${prompt};
Deal.;
${lettercase: 1}${article} ${item-article: 33[2]}.${prompt};
Retrieve an item.;
Prey: Aquarius / Kills: ${number: 4}/${number: 0} ${prompt};
Tavnazian Safehold.;
Open the box and profit!;
The Undead Swarm is on the move.;
Prey: Seww the Squidlimbed / Kills: ${number: 0} ${prompt};
${color-alt: 121}Recast timers for all abilities reset!;
Training area: Bhaflau Thickets.${prompt};
Is my assistance reaching you, Master? Your Mog House is currently aglow with ${choice: 0}[the overwhelming/the powerful/the faint] energy of many different elements, kupo!${prompt};
Training area: Castle Zvahl Keep.${prompt};
Prey: Thoon / Kills: ${number: 0} ${prompt};
Prey: Bashe / Kills: ${number: 0} ${prompt};
Title: Surging★Star${prompt};
If the furnace before you is already in use, please seek out an unused one elsewhere, or wait patiently for your turn.${prompt};
Provided those conditions are met, synergy furnaces may be used free of charge.${prompt};
The Zulkheim Region.;
View list of storable armor sets.;
This ${item-singular: 0[2]} will cost you ${number: 1} ${choice: 2}[Conquest Points/credits of Imperial Standing/Allied Notes].${prompt};
Prey: Tottering Toby / Kills: ${number: 4}/${number: 0} ${prompt};
${color-alt: 121}Unlocked all jobs and support jobs!;
Jugner: Bastok vs Windurst;
I have a favor to ask, kupo!${prompt};
Lastly, since we don't knows where da items go once inside, ya ain't gettin' nothin' back datcha put in.;
${choice: 33}[Add to favorites/Remove from favorites].;
Prey: Arioch / Kills: ${number: 0} ${prompt};
“Halvung Staging Point.”${prompt};
Prey: Orcus / Kills: ${number: 4}/${number: 0} ${prompt};
Finally, ${color: 5}Scout${color: 1} can only be used when a player is carrying a ${color: 5}Petra${color: 1}. Because ${color: 5}Sprint${color: 1} cannot be used at this time, players must be weary of approaching enemies.${prompt};
Prey: Kirtimukha / Kills: ${number: 4}/${number: 0} ${prompt};
Mercenary Rank.;
${number: 0} ${choice-plurality: 0}[Nachtmahr/Nachtmahrs].${prompt};
Training area: Sea Serpent Grotto.${prompt};
Home point set!${prompt};
${wait-animation: 1};
Ghelsba.;
None at this time.;
Prey: Sword Sorcerer Solisoq / Kills: ${number: 0} ${prompt};
Dvucca Isle.;
Prey: Antican Proconsul / Kills: ${number: 0} ${prompt};
But don't forget, a player will be unable to use the ${color: 5}Sprint${color: 1} command while in possession of a ${color: 5}Petra${color: 1}. And, players can only use the ${color: 5}Scout${color: 1} command if they carry one of the stones.${prompt};
${number: 4}/${number: 0} ${choice-plurality: 4}[Dune Manticore/Dune Manticores].${prompt};
1st (ninja).;
Prey: Laelaps / Kills: ${number: 4}/${number: 0} ${prompt};
${number: 4}/${number: 0} ${choice-plurality: 4}[Magic Flagon/Magic Flagons].${prompt};
You'll want to peruse the fine print closely, so you don't end up paying good gil for a scrap of parchment useless for the particular item you wish to store.${prompt};
"(Sometimes, if a special force takes hold, you can even deliver items with the ""Exclusive"" attribute, kupo...!)${prompt}";
${number: 4}/${number: 0} member${choice-plurality: 4}[/s] of the skeleton family.${prompt};
Ahahaha!;
mes9${prompt};
${name-player}...;
Chevron & Title List.;
${title: 24[2]}.;
Prey: Magnotaur / Kills: ${number: 0} ${prompt};
It's all yours, kupo!${prompt};
2.;
Once you set a home point, you will return there whenever you are incapacitated.;
After all, we can't afford to let our limited resources go to waste in the hands of some unproven rookie.${prompt};
${number: 0} ${choice-plurality: 0}[Giant Spider/Giant Spiders].${prompt};
If only all my students were as attentive as you!${prompt};
Level 31～40 armor.;
Do we have a deal, kupo?${prompt};
Prey: Herbage Hunter / Kills: ${number: 0} ${prompt};
You will find that all crafting skills--even those you may not expect--may be applied in some way to support the synergy process.${prompt};
Prey: Olgoi-Khorkhoi / Kills: ${number: 4}/${number: 0} ${prompt};
Prey: Moo Ouzi the Swiftblade / Kills: ${number: 0} ${prompt};
Nowhere.;
(${number: 3} gil on hand)${prompt};
Obtained: ${keyitem-singular: 0[2]}.${prompt};
Prey: Zirnitra / Kills: ${number: 4}/${number: 0} ${prompt};
Prey: Friar Rush / Kills: ${number: 4}/${number: 0} ${prompt};
Great!;
Remove which entry?;
Training area: Alzadaal Undersea Ruins.${prompt};
“Mamool Ja Staging Point.”${prompt};
No other survival guide locations have been recorded. Visiting another one would certainly alleviate this issue.${prompt};
Not now.${prompt};
Prey: Koropokkur / Kills: ${number: 0} ${prompt};
After being KO'd, if a player chooses to be revived at the spot he was defeated, 100% of all HP and 50% of all MP will be restored. In addition, the player will maintain 50% of the TP he had earned.${prompt};
Prey: Yarr the Pearleyed / Kills: ${number: 0} ${prompt};
For you see, synergy furnaces are designed for use by multiple operators.${prompt};
Ask about your Mog House again?;
Training area: Castle Oztroja.${prompt};
And dere's no better feelin' dan takin' trash and turnin' it into treasure. It's pramactically a new kind o' alchemy!;
Iron Musketeer's Cuirass.;
Prey: Lesath / Kills: ${number: 0} ${prompt};
Prey: Goblinsavior Heronox / Kills: ${number: 0} ${prompt};
Communication with one's team members is, of course, one way to locate ${color: 5}Rooks${color: 1}. However, another way is by using the ${color: 5}Scout${color: 1} command. This will inform a player of the approximate location of the nearest ${color: 5}Rook${color: 1}.${prompt};
${title: 6[2]}, a hero's story!;
Prey: Fyuu the Seabellow / Kills: ${number: 4}/${number: 0} ${prompt};
Heading outside?;
Ya ain't gonna get no prizes by hoardin' yer points, so stop bein' such a Greedalox and use 'em.${prompt};
Prey: Atkorkamuy / Kills: ${number: 4}/${number: 0} ${prompt};
Oh, the ${item-singular: 0[2]}? Why, that's one of my favorite recipes, too!;
Prey: Tigerbane Bakdak / Kills: ${number: 4}/${number: 0} ${prompt};
Mama Moogle always likes to dress up for the occasion, and ${article} ${item-article: 6[2]} would make the perfect present, kupo!${prompt};
Areas where Ballista matches will be held are:;
You can set this as your current home point.;
Now we just pop open your ${keyitem-singular: 0[2]} here, and...${prompt};
Oh dear...;
The Mog Safe is where I keep items that you can't carry! It's an especially secure and solid safe, kupo!${prompt};
Prey: Drooling Daisy / Kills: ${number: 0} ${prompt};
I...;
Lemme shows ya how to use dis myst'ry box.${prompt};
Prey: Buburimboo / Kills: ${number: 0} ${prompt};
Which synthesis recipe do you ask about?;
${title: 22[2]}.;
Prey: Yowie / Kills: ${number: 4}/${number: 0} ${prompt};
Prey: Tempest Tigon / Kills: ${number: 4}/${number: 0} ${prompt};
${number: 4}/${number: 0} ${choice-plurality: 4}[Peak Pugil/Peak Pugils].${prompt};
Prey: Elusive Edwin / Kills: ${number: 0} ${prompt};
Oy, would ya get a look at yer ${item-singular: 0[2]}! I guess I can let ya open ${choice: 1}[/Dial 1/Dial 2/Dial 3/Dial 4/Dial 5/the special dial///the abjuration dial/the fortune dial/the furnishings dial//the Vana'versary dial] whenever ya want fer not a single onz o' daily tally!;
Reset ability recast timer.;
You're a mercenary from Salaheem's Sentinels?${prompt};
Prey: Capricornus / Kills: ${number: 4}/${number: 0} ${prompt};
Are you sure, kupo? You know everything about your Mog House, kupo?${prompt};
Inquire about my daily tally.;
Prey: Bistre-hearted Malberry / Kills: ${number: 0} ${prompt};
Prey: Tawny-fingered Mugberry / Kills: ${number: 4}/${number: 0} ${prompt};
Prey: Slendlix Spindlethumb / Kills: ${number: 4}/${number: 0} ${prompt};
Prey: Naa Zeku the Unwaiting / Kills: ${number: 4}/${number: 0} ${prompt};
I'll be sure to bring you a souvenir from my overseas trip, kupo! See you in a few days, master!${prompt};
Why, if they manage to achieve an elemental surge...${prompt};
${zone: 4[2]} #${number: 20}.;
${number: 4}/${number: 0} ${choice-plurality: 4}[Ochu/Ochus].${prompt};
Choral Attire.;
Prey: Hercules Beetle / Kills: ${number: 4}/${number: 0} ${prompt};
Prey: Soulstealer Skullnix / Kills: ${number: 0} ${prompt};
Deal!;
Prey: Taxim / Kills: ${number: 4}/${number: 0} ${prompt};
Prey: Bloody Bones / Kills: ${number: 0} ${prompt};
Prey: Becut / Kills: ${number: 0} ${prompt};
To throw a ${color: 5}Petra${color: 1} into a ${color: 5}Rook${color: 1}, a player must first wait until the ${color: 5}Rook's${color: 1} gate is open. This takes impeccable timing, as the gate is only open for a short while.${prompt};
How's that for a deal?${prompt};
Proceed?;
Prey: Antican Tribunus / Kills: ${number: 4}/${number: 0} ${prompt};
Teleportation to the Isle is free of charge, but a participation fee of ${number: 0} gil is required before each match.${prompt};
Title: Silver Balli☆☆star${prompt};
Prey: Seww the Squidlimbed / Kills: ${number: 4}/${number: 0} ${prompt};
You already possess a map of the ruins.;
${number: 4}/${number: 0} ${choice-plurality: 4}[Svelldrake/Svelldrakes].${prompt};
Prey: Belladonna / Kills: ${number: 4}/${number: 0} ${prompt};
Prey: Mischievous Micholas / Kills: ${number: 0} ${prompt};
Prey: Skull of Lust / Kills: ${number: 4}/${number: 0} ${prompt};
The items you attempted to trade have been returned.${prompt};
Prey: Namtar / Kills: ${number: 0} ${prompt};
It is, however, only possible to create one aperture at a time.${prompt};
Batallia Downs.;
Rise of the Zilart.;
However, remember that once a player has obtained a ${color: 5}Petra${color: 1}, he or she will be unable to use the ${color: 5}Sprint${color: 1} command. In its place, though, one may use the ${color: 5}Scout${color: 1} command.${prompt};
Prey: Baobhan Sith / Kills: ${number: 0} ${prompt};
Prey: Euryale / Kills: ${number: 4}/${number: 0} ${prompt};
Prey: Bedrock Barry / Kills: ${number: 4}/${number: 0} ${prompt};
Master! What ${choice: 7}[an egg-ceptional specimen/egg-ceptional specimens] you have there!;
Good luck!${prompt};
Do you love synergizing as much as I love synergizing!?;
Prey: Jeduah / Kills: ${number: 0} ${prompt};
Prey: Flockbock / Kills: ${number: 0} ${prompt};
Jeuno.;
I'll add you to my repertoire;
1st (scholar).;
Prey: Mouu the Waverider / Kills: ${number: 4}/${number: 0} ${prompt};
${title: 20[2]}.;
1st (bard).;
Do you wish to proceed?${prompt};
No, I've changed my tune.${prompt};
${number: 0} gil.;
Prey: Bastet / Kills: ${number: 0} ${prompt};
Prey: Chary Apkallu / Kills: ${number: 0} ${prompt};
Now close your eyes...${prompt};
...?${prompt};
Prey: Eurytos / Kills: ${number: 4}/${number: 0} ${prompt};
Prey: Foreseer Oramix / Kills: ${number: 0} ${prompt};
Dis box is full o' myst'ries,♪;
Matches for the 1st～4th month are:;
${number: 0} ${choice-plurality: 0}[Desert Puk/Desert Puks].${prompt};
Training area: The Eldieme Necropolis.${prompt};
Prey: Lindwurm / Kills: ${number: 0} ${prompt};
My colleagues and I have a stock of mordant available for sale.;
The beastmen have retreated.${prompt};
Prey: Demonic Tiphia / Kills: ${number: 4}/${number: 0} ${prompt};
Prey: Denn the Orcavoiced / Kills: ${number: 4}/${number: 0} ${prompt};
You will gain access to all jobs.;
Rules are rules, kupo, and someone has to keep them.${prompt};
Prey: Leaping Lizzy / Kills: ${number: 4}/${number: 0} ${prompt};
Training area: Ghelsba Outpost.${prompt};
I found this in the ${item-singular: 3[2]}, kupo!${prompt};
Sorcerer's Attire.;
Sprint.;
Prey: Sacrificial Goblet / Kills: ${number: 0} ${prompt};
“Nyzul Isle Staging Point.”${prompt};
Prey: Nussknacker / Kills: ${number: 0} ${prompt};
Training area: Jugner Forest.${prompt};
${number: 0} ${choice-plurality: 0}[Sensenmann/Sensenmanner].${prompt};
Learn recipes.;
${number: 4}/${number: 0} member${choice-plurality: 4}[/s] of the Tonberry family.${prompt};
Oho, looks like it don't wants no more. Guess ya gotta come back tomorrow if ya's wanna keep gettin' rid o' stuff.${prompt};
Nowhere for now.;
Prey: Mahishasura / Kills: ${number: 4}/${number: 0} ${prompt};
${number: 4}/${number: 0} ${choice-plurality: 4}[Glade Wivre/Glade Wivres].${prompt};
Master! Oh, master, look!;
Also, I calls da amount o' time ya's waited yer circa...circama...circamadamian...ugh, yer “daily tally.”;
I traveled all the way here at your bidding, kupo! Even a Rent-a-Room needs a moogle, kupo!${prompt};
Training area: Caedarva Mire.${prompt};
Embedding the first piece is not too difficult a task, but the second and third pieces will not go in so easily.${prompt};
${choice: 1}[Aragoneu/Valdeaunia Front].;
This is a restricted area.${prompt};
Take heart, though, as any materials inside your ${keyitem-singular: 0[2]} will remain intact.;
Valor Armor.;
In many cases, expertise and knowledge acquired through crafting will serve you in synergy as well.;
Before you lies a survival guide penned by the Adventurers' Mutual Aid Network. It touches on such topics as teleportation and battle records.${prompt};
Select by content.${prompt};
${number: 0} arcana-type creature${choice-plurality: 0}[/s].${prompt};
Prey: Wuur the Sandcomber / Kills: ${number: 4}/${number: 0} ${prompt};
${choice: 33}[Add location to favorites/Remove location from favorites].${prompt};
Prey: Sabotender Bailarin / Kills: ${number: 0} ${prompt};
Prey: Bistre-hearted Malberry / Kills: ${number: 4}/${number: 0} ${prompt};
Prey: Nunyenunc / Kills: ${number: 4}/${number: 0} ${prompt};
Training area: Zeruhn Mines.${prompt};
On second thought, never mind.${prompt};
Prey: Proconsul XII / Kills: ${number: 0} ${prompt};
Storage space becomes available when you place furniture in your Mog House using the “Layout” command, kupo!${prompt};
${title: 5[2]}.;
${number: 0} member${choice-plurality: 0}[/s] of the doll family.${prompt};
Gustaberg.;
Level 75 White Mage.;
What good's a chest if ya ain't gots da key? Well, da key to dis chest is da fine art o' waitin'.${prompt};
Is my assistance reaching you, Master? Your Mog House is currently aglow with ${choice: 0}[overwhelming/powerful/faint] ${choice: 1}[fire/ice/wind/earth/lightning/water/light/dark] energy, kupo!${prompt};
${number: 5} gil.;
If you haven't already done so, you should go and speak with a woman named Alaune. She's at the Westgate in Southern San d'Oria, kupo.${prompt};
Prey: Pahh the Gullcaller / Kills: ${number: 0} ${prompt};
Intercept their forces in the Wajaom Woodlands!${prompt};
What to do...;
${number: 4}/${number: 0} ${choice-plurality: 4}[Forest Leech/Forest Leeches].${prompt};
${title: 2[2]}.;
Deposit mordant into a synergy furnace along with your equipment, and the process will begin.${prompt};
${zone: 10[2]}.;
I will take the item and return the slip to you, marked with an invisible seal.${prompt};
Prey: Marquis Sabnock / Kills: ${number: 4}/${number: 0} ${prompt};
Whats was I sayin' again? Ugh, never mind.${prompt};
Wait...;
You know the one, right across from Durable Shields.;
${title: 3[2]}.;
Training area: Bostaunieux Oubliette.${prompt};
Sleeping on that ${item-singular: 3[2]} has made me homesick, kupo.;
At the beginning of the match, half of each side's Flammen-Brenner will be ablaze with “Flamme,” or flame, while the other half will remain unlit.${prompt};
Yes, this sounds splendid!;
...Hm? Why, your tank is already full to bursting.;
I've changed my mind.${prompt};
Padded Armor.;
Your ${choice: 0}${choice: 0}[/fewell feeding/furnace thwacking/pressure handle operation/safety lever operation/furnace repair/fewell recycling] technique increases to level ${number: 1}!;
Flammen-Brenner.;
Prey: Triarius X-XV / Kills: ${number: 0} ${prompt};
You may change the way you select areas listed in “Teleportation Assistance.”;
Prey: Chaneque / Kills: ${number: 4}/${number: 0} ${prompt};
Hmmm...;
No, thank you.${prompt};
Prey: Erle / Kills: ${number: 0} ${prompt};
Prey: Sozu Bliberry / Kills: ${number: 4}/${number: 0} ${prompt};
For a mere ${number: 6} gil I'll recall your past.;
Silver Chainmail.;
None.${prompt};
KO.;
And the required elemental balance is:;
Papa Mog is mad for fishing, so I want to give him ${article} ${item-article: 5[2]}, kupo!${prompt};
Training area: Batallia Downs (S).${prompt};
Raptor Armor.;
While this will not impact the success or failure of the process itself, it will result in a greater amount of salvageable cinder produced as a by-product.${prompt};
Change to what song?;
Prey: Skull of Greed / Kills: ${number: 4}/${number: 0} ${prompt};
Rise of the Zilart areas.;
${number: 4}/${number: 0} ${choice-plurality: 4}[Hoarmite/Hoarmites].${prompt};
By carrying ${keyitem-article: 0[2]} with you during a Ballista match, any temporary item you quarry will be automatically placed in your bag without you having to select whether you wish to keep it, use it, or throw it away.${prompt};
Prey: Teporingo / Kills: ${number: 0} ${prompt};
${number: 4}/${number: 0} ${choice-plurality: 4}[Ergdrake/Ergdrakes].${prompt};
Prey: La Velue / Kills: ${number: 0} ${prompt};
!!!;
Shinobi Gi.;
${number: 0} ${choice-plurality: 0}[Faunus Wyvern/Faunus Wyverns].${prompt};
Yes, I'm done here.;
No, your time is mine!${prompt};
Ronfaure.;
What is it?${prompt};
Which page?;
of a harrowing nightmare unheard of;
So I's not be takin' no responsibility if somethin' weird 'n wacky comes out. Got it? Ya open it, ya keep it.${prompt};
Windurst Rank 10.;
NPC index out of range.${prompt};
I found this precious item under the ${item-singular: 3[2]} pillow, kupo!${prompt};
The basic rules of Brenner are as follows:${prompt};
Prey: Firedance Magmaal Ja / Kills: ${number: 4}/${number: 0} ${prompt};
Kupo? I'm already taking care of that item for you.${prompt};
When etching or embedding, the required elemental balance may be confirmed at any time during the synergy process, so let this be your guide.${prompt};
There is no response...${prompt};
${number: 4}/${number: 0} ${choice-plurality: 4}[Enkidu/Enkidus].${prompt};
Prey: Swamfisk / Kills: ${number: 0} ${prompt};
Prey: Emela-ntouka / Kills: ${number: 0} ${prompt};
Prey: Calcabrina / Kills: ${number: 4}/${number: 0} ${prompt};
You return the ${keyitem-singular: 0[2]}!${prompt};
Prey: Smothered Schmidt / Kills: ${number: 4}/${number: 0} ${prompt};
Prey: Dynast Beetle / Kills: ${number: 4}/${number: 0} ${prompt};
Prey: Wounded Wurfel / Kills: ${number: 0} ${prompt};
Port Windurst.;
Prey: Antican Proconsul / Kills: ${number: 4}/${number: 0} ${prompt};
Mebbe not by much, but dat's better'n nothin', am I right?${prompt};
In order to ensure balanced matches, the following level limits are enforced:;
Track: Ronfaure.;
Prey: Beryl-footed Molberry / Kills: ${number: 4}/${number: 0} ${prompt};
Retrieve ${article} ${item-article: 32[2]}?;
I have something to tell you, kupo!${prompt};
Select this song?;
