Phrase en Anglais;Phrases en français
I'm Gilgamesh, the leader of these scallywags. Me daughter's filled me in on your tale.${prompt};
I've had me suspicions about Jeuno fer years. That's why I had Lion investigatin' these past months.${prompt};
But blimey! I had no idear that the Archduke and his wee brother were Zilarrrt.${prompt};
That ancient civilization perished so long ago, there be no record of it.${prompt};
And who be these five Warriors of the Crystal?${prompt};
If they really are the Warriors that legend speaks of...${prompt};
Does this mean that the â€œbaneâ€ the song sings of...is us?${prompt};
We will cause the blood of innocents to soak the earth? We will cause the world to fall into fear and despair?${prompt};
So we are the plague that the Warriors of the Crystal have come to cure?${prompt};
I don't know nothin' 'bout no Crystal Warriors or ancient legends, but I do know I'm not gonna sit around waitin' fer these Zilart to take over the world.${prompt};
â€œCleanse the world?â€ â€œBeginning of the end?â€ That be a lot of fancy talk.${prompt};
But let's see them say that in front of yours truly! I'm not runnin' away from no fight!${prompt};
But how can we stop Kam'lanaut's plan?${prompt};
We're settin' out fer the Temple of Uggalepih.${prompt};
The Temple of Uggalepih?${prompt};
While not as ancient as Fei'Yin, I do know of some old ruins in the Temple of Uggalepih, beyond the Yuhtunga Jungle.${prompt};
Years ago, I journeyed there, thinking some booty had to be hidden in a place so ancient. That is where I met up with this strange old woman.${prompt};
â€œAre the ancient spirits still in slumber? Come again when the minions awake.â€${prompt};
Arrrg, and then she vanished into thin air.${prompt};
I didn't know what to make of it then, but I never thought it would be somethin' big like this.${prompt};
I'm sure that old lady must know what's goin' on. ${name-player}, I want ya t'travel to the Temple of Uggalepih and find her.${prompt};
And before you go, stop by an' see the Chieftainness in Kazham. If you tell her I sent ya, she may be of some help.${prompt};
No one's going to believe such a crazy story. We're going t'have t'work by ourselves on this one.${prompt};
I believe...${prompt};
Aldo! How long's it been? What brings you all the way out here?${prompt};
Lion, Gilgamesh... It's Verena. She's disappeared.${prompt};
But why would she go anywhere now?;
I have a bad feeling about this...${prompt};
It may have somethin' t'do with Kam'lanaut's plan.${prompt};
I'll help you look for her, Aldo. If anything happened to Verena...${prompt};
No, Lion. I have another job fer you.${prompt};
What?${prompt};
Lion, I appreciate your words, but let me gather some information around Jeuno first.${prompt};
Just knowing that Kam'lanaut is up to no good is a start. If I find out anything new, you will be the first to know.${prompt};

###### ZM2: fin CS ########

æœ€å¾Œã«ã€ä¸€ã¤ã„ã£ã¦ãŠãã“ã¨ãŒã‚ã‚‹ã€‚${prompt};
ã“ã‚“ãªè©±ã€èª°ã‚‚ä¿¡ã˜ã¡ã‚ƒãã‚Œã¾ã„ã€‚;
é€†ã«ã€æ€ªã—ã¾ã‚Œã¦ã€æ•ã¾ã£ã¡ã¾ã†ã‹ã‚‚ã—ã‚Œã‚“ã€‚;
ã¨ã‚Šã‚ãˆãšã€ä¿ºãŸã¡ã ã‘ã§èª¿ã¹ã‚‹ã‚“ã ã€‚${prompt};
ãƒ©ã‚¤ã‚ªãƒ³ã€;
ãŠã¾ãˆã«ã‚ƒä»–ã«ã‚„ã£ã¦ã‚‚ã‚‰ã„ãŸã„ã“ã¨ãŒã‚ã‚‹ã€‚${prompt};

#### ZM9: début CS #####

Arrrg, I heard from Lion about what happened at Delkfutt's Tower.${prompt};
Our ancient friend called that island floatin' over Qufim â€œTu'Liaâ€...the Gate of the Gods.${prompt};
Eald'narche also said that only those who have been blessed by the light and whose power has been accepted by the crystal can pass through the gate.${prompt};
What does that boy think he's doing, playing some kind of game with Vana'diel as his prize?${prompt};
Kamui. Have you ever heard the name Ro'Maeve? Eald'narche mentioned it before he left Delkfutt's Tower.${prompt};
Ro'Maeve? Hmmm...${prompt};
On the northern tip of Mindartia is a wild, untamed region called the Sanctuary of Zi'Tah. In this area there remains a set of ancient ruins.${prompt};
I remember those ruins being referred to as Ro'Maeve.${prompt};
However, those ruins, also known as the Temple of Desolation, have long been feared by many.${prompt};
Arrrg, a frightenin' place that Zi'Tah be. Ya never know what's gonna creep up behind yer back.${prompt};
${name-player}, take care when traveling up there, unless ya want to be swimmin' in Davy Jones's locker.${prompt};
Okay, I'll be careful.${wait-animation: 1};
Hold on there, missy. You're not going with ${name-player} this time. I need ya t'travel t'Jeuno and keep an eye on them beastmen.${prompt};
But...but!${prompt};
Don't talk back t'me. You know what ya have t'do, now go do it! I'll stay here and watch after me hideout.${prompt};
...${prompt};

##### ZM9: fin #########

Gnyah-hah-hoh! A fine lookin' adventurer you are. I heard that if the price is right, your kind will do almost anything.${prompt};
How's about it? Are ya game?${prompt};
Accept Muzaffar's offer?;
${selection-lines};
Yes.;
No.${prompt};
That's too bad. I was ready to pay a bundle... Guess I'll just have to find someone with a little more moxie.${prompt};
That's the answer I was lookin' for!;
As you know, we sell items here that are forbidden to import and export on the mainland.${prompt};
But as of late there's been mighty more demand than our supply can handle. We just don't have enough people to keep up. That's where you come in.${prompt};
If you can make it here, you can make it to where all those forbidden items are found. You bring me some, and I'll pay you well. Oh, and I wouldn't try sellin' the goods at any other shop. You won't get ten gil for them.${prompt};
This is what I need: ${item-plural: 1[2]}, ${item-plural: 2[2]}, and ${item-plural: 3[2]}.${prompt};
Bring them to me in sets. Four items make one set. I'll pay you for one set at a time.${prompt};
You already forgot what I want you to bring? Not that smart for an adventurer, are you? Now listen up, I don't want to have to tell you again.${prompt};
Gnyah-hoh-hoh! If it isn't a set of ${item-plural: 1[2]}! Here's the payment I promised you.${prompt};
If you ever come across any more, bring them to me, 'cause I'll be happy to take them off your hands for you. Like they say, â€œYou scratch my back, I'll scratch yours.â€${prompt};
If you ever have any more ${item-plural: 1[2]}, ${item-plural: 2[2]}, or ${item-plural: 3[2]}, come to Muzaffar. I'll be happy to take them off your hands for you.${prompt};
<Sigh>;
What am I to do...?${prompt};
Rations? We have more than enough. But the drink...these hooligans guzzle it down like it was water. We're always low on supply!${prompt};
Ah, you came at the perfect time. You're one of those adventurers, aren't you? Well, I need you to run an errand for me in the Yhoator Jungle.${prompt};
Deep in that jungle, the wild Opo-opos brew a special drink by fermenting berries in the trees.${prompt};
You must be wondering how you get there, right? You'll find the Yhoator Jungle just beyond the Yuhtunga Jungle. But you should watch your back. There are a lot of wild animals creeping around in that place.${prompt};
Don't worry. I'll pay you for your trouble.${prompt};
Will you help me out?;
${selection-lines};
Of course.;
Maybe some other time.${prompt};
I can't thank you enough! Now take this ${keyitem-singular: 6[2]} and fill it chock full of that Opo-Opo brew. I'll be waiting!${prompt};
Well, I guess you adventurers must be busy with your adventuring. I'll try to find somebody else to go.${prompt};
Oh, have you changed your mind?${prompt};
Okay, now listen up. The Opo-opos don't hide their brew in the Yuhtunga Jungle, only in the Yhoator Jungle.${prompt};
When you find one of the trees those little buggers are making it in, fill this ${keyitem-singular: 6[2]} up to the brim, and bring it back to me.${prompt};
Mmm-mmm! The color! The aroma! Only nature can work magic like this!${prompt};
Now if only those hooligans would appreciate it! Knowing them, this batch will be gone by the end of the night...${prompt};
Here's a little something for your trouble.;
Now, I have to remember to double our next order from our suppliers...${prompt};
Oh, thanks again for helping me out. What's beyond this door? Why, that's the kitchen--the heart of Norg. I can't let you in there, you know.${prompt};
My name is Jaucribaix, and I am the blacksmith here in Norg. I don't waste my time with that crystal synthesis rubbish. I forge all my katana in the traditional manner.${prompt};
Our leader, Gilgamesh, has asked me to forge him a katana, but I am in somewhat of a bind.${prompt};
A katana is a work of art. I refuse to replace the traditional methods of smithing with modern synthesis. However, my supply of materials is currently running low.${prompt};
If these items were easy to come by, I would go myself. Unfortunately, this is not the case, and I require your assistance.${prompt};
Listen to Jaucribaix's request?;
${selection-lines};
Yes.;
No.${prompt};
I see.;
I apologize for taking up your valuable time.${prompt};
Ah, have you reconsidered my offer?${prompt};
I am grateful for your assistance. Would you be so kind as to fetch me ${article} ${item-article: 0[2]} and ${article} ${item-article: 1[2]}?${prompt};
The ${item-singular: 0[2]} is for the flame that fuels my furnace, and the ${item-singular: 1[2]} is the perfect material for melting the iron. Both are needed to forge a true katana blade.${prompt};
To learn of where you may come across these items, ask my pupils.${prompt};
Tell them I sent you, and they will assist you with your preparations for the journey. Also, if you come across any trouble, you may ask them for further aid. However, I doubt you will require it.${prompt};
To learn of where you may come across the items I wish you to bring me, ask my pupils.${prompt};
Tell them I sent you, and they will assist you with your preparations for the journey. Also, if you come across any trouble, you may ask them for further aid. However, I doubt you will require it.${prompt};
When you have gathered the two items, bring them directly to me and I will begin my work.${prompt};
Wonderful. These are the materials that I require. I apologize, but I must hurry or Gilgamesh will have my head. I will reward you for your services when I have finished the katana.${prompt};
How long will it take, you ask? A good blade takes at least three full days to complete. Come to me then. You need not worry. I will be right here.${prompt};
Again, I apologize for not being able to give you your reward sooner.${prompt};
My work is not yet complete. I still require ${number: 0} ${choice-plurality: 0}[more hour/more hours]. It is not wise to waste your time trying to outrun the clock in this game we call life.${prompt};
Time is like a flowing river--it cannot be sped up or slowed down. We must float along at the pace it has chosen.${prompt};
Ah, ${name-player}, you have finally returned. I was beginning to worry that you had forgotten about your reward.${prompt};
Now where did I put that...${prompt};
Arrrg, if it isn't our little helper ${choice-player-gender}[boy/girl]!${prompt};
Gilgamesh.${prompt};
Ya did some mighty fine work in gettin' me matey, Jauc, his materials. Thanks t'you, I got meself a fine new blade.${prompt};
Listen carefully, ${name-player}. Within a katana, the soul of its maker and the soul of its wielder are intertwined.${prompt};
That newfangled crystal synthesis you adventurers be usin' is all fine fer mantles and arrows, but it can't copy the traditional methods. One must know the essentials behind a blade if they ever want t'master it.${prompt};
That's why we make adventurers like you go on quests like that last one. We want you t'know the true meanin' of wieldin' a blade like this.${prompt};
Know the meaning of the power you hold, and only then will you find the true power within. That be â€œbushido,â€ the way of the samurai.${prompt};
Yer adventures have already trained you t'become a samurai. Now all that's left is for ya t'pledge your faith t'this blade. Yer power within will do the rest.${prompt};
Rid yerself of all unnecessary thoughts and feel the world around ya. Make yer soul an unclouded mirror...a motionless pond. Project yerself into yer blade. This be the legendary skill used by the samurai--â€œMeikyo Shisui.â€${prompt};
Take this ${item-singular: 0[2]}, ${name-player}. This blade was forged fer ya. Pledge your life t'her an' she won't let ya down.${prompt};
You accept the ${item-singular: 0[2]} from Gilgamesh.;
You can now become a samurai.${prompt};
I wish to give you your reward, but you seem to be carrying too much already. Come back when you have more room in your pack.${prompt};
Crystal technology has helped Vana'diel prosper, but at the cost of traditional methods, now lost forever.${prompt};
Just as the old is replaced by the new, the world is constantly changing. One day, one may no longer be able to live by a single blade alone.${prompt};
So, you need ${article} ${item-article: 0[2]}. I see Master Jaucribaix is starting another project. Let me tell you where to find that item.${prompt};
You won't just find one lying around anywhere. Forging a katana is somewhat of a ritual. The smith focuses all his spiritual energy into the task. Thus, the ${item-singular: 0[2]} used must be from a spiritual place as well.${prompt};
Beyond the Meriphataud Mountains is an ancient forest known as the Sanctuary of Zi'Tah. There you will find a tree that has been standing for over a thousand years.${prompt};
Only a branch from this tree is suitable for the flame that burns in Master Jaucribaix's furnace. However, take care when traveling in Zi'Tah, as it is a land of much mystery and danger.${prompt};
Here, take this ${item-singular: 1[2]}. You will know what to do with it when you arrive at the tree. Take care not to lose it, as it is a very rare item.${prompt};
What? You need another ${item-singular: 1[2]}? And after I told you how important it was! If you want me to give you another one, bring me one ${item-singular: 2[2]} and two ${item-plural: 3[2]}, and I will think about it.${prompt};
If you want me to give you another ${item-singular: 1[2]}, bring me one ${item-singular: 2[2]} and two ${item-plural: 3[2]}, and I will think about it.${prompt};
I do not mean to sound rude, but this is a very important item. Do not go losing it again.${prompt};
Welcome back from your journey. Please deliver that ${item-singular: 0[2]} directly to Master Jaucribaix.${prompt};
What does an adventurer like you need ${article} ${item-article: 0[2]} for? Oh, Master Jaucribaix sent you. Then I guess I have to give you this.${prompt};
To the untrained eye, this ${item-singular: 1[2]} may look like a simple piece of scrap iron, but it is actually a rare ore from the Far East.${prompt};
It contains metals not found on Mindartia or Quon. By processing this in a special way, it will become the perfect material for melting iron in the Master's furnace.${prompt};
Your job is to find a bomb to consume this ${item-singular: 1[2]}. When a bomb eats it, it will be refined into ${article} ${item-article: 0[2]}.${prompt};
Somewhere in the Konschtat Highlands is a small cave with a charred floor. It is there you will find a bomb that will consume the ${item-singular: 1[2]}.${prompt};
Place it on the charred area, and retrieve the ${item-singular: 0[2]} from the bomb that appears.${prompt};
Place the ${item-singular: 1[2]} on the charred area in a cave in the Konschtat Highlands, and retrieve the ${item-singular: 0[2]} from the bomb that appears.${prompt};
You need another ${item-singular: 1[2]}? Fine, but these do not come cheap. I will give you a new one only in exchange for ${article} ${item-article: 2[2]}.${prompt};
${lettercase: 1}${item-plural: 1[2]} do not come cheap. I will give you a new one only in exchange for ${article} ${item-article: 2[2]}.${prompt};
Ah, ${article} ${item-article: 2[2]}. Here is the ${item-singular: 1[2]} I promised, but you should really try to take better care of your belongings...${prompt};
I see you made it back safely. I hope you didn't have trouble with the bomb. The ${item-singular: 0[2]}? Oh, you can give that directly to Master Jaucribaix.${prompt};
You do not have to worry about your reward. Master Jaucribaix is a man of his word. Time is necessary for him to complete his work.${prompt};
You must be patient. Nothing good can be gained by rushing things.${prompt};
You must not set any limits in your life, as your progress will end when you reach them. Always set your goals high, and you will continue to grow stronger.${prompt};
If ya ever have any problems with those pesky little Tonberries, just come to yer buddy Magephaud.;
It doesn't look like you're in that much trouble, though.${prompt};
Heh-heh-heh...;
You've been out playin' with the Tonberries, haven't ya? Don't try denyin' it. I can tell jus' by lookin' at ya.${prompt};
I can see them Tonberries' hate fer ya. Now listen close, matey, if ya want t'live.${prompt};
The little green beasties on this island are all connected. When ya kill one, the others around all get stronger. It's their hate fer ya that drives 'em.${prompt};
But today's yer lucky day, me matey. I happen t'know a special way of appeasin' those Tonberries.${prompt};
Har-har-harrr! Ya think I'd tell ya fer free? Bring me three ${item-plural: 0[2]}. Then I'll let ya in on me little secret.${prompt};
Bring me three ${item-plural: 0[2]}. Then I'll let ya in on me little secret.;
I won't pressure ya into anything if ya think ya can handle the devils on yer own...${prompt};
One...two...three. Three ${item-plural: 0[2]}, just like I asked fer. Okay. Let me fill ya in on how to soothe these slimy savages.${prompt};
Way back when I was still young and didn't know about the hate--the rancor--of the Tonberries, I killed a couple...just like you did.${prompt};
Then, one day when me and me mateys wuz plunderin' an old temple, I met an old Tonberry who understood the words of men.${prompt};
It was he who told me of the Tonberries' hate, and that only he could soothe the rancor heaped upon me.${prompt};
But then he told me t'fork over me gil! That be a beastman fer ya!${prompt};
So I told him t'show me some evidence before I was handin' over any gil, and with a wave of his wand, he relieved me of the Tonberries' rancor.${prompt};
And then, did I pay the gil? Of course I didn't! I hit him with a â€œSneak Attackâ€ and swiped his key t'the room. Then I used me â€œFleeâ€ and I was gone like the wind.${prompt};
Ya get all that? Now ya know what t'do. Here's the key t'that room.${prompt};
Don't get the wrong idea, now. I only told ya I'd tell you the way t'rid yerself of the rancor, not actually rid ya of it.${prompt};
You've got the key. What ya do with it is up to you, but watch yer back if yer ever travelin' around that ancient temple.${prompt};
Well, shivivi me timbers! Dat ${item-singular: 0[2]} you're carryin'! I'be seen dat before!${prompt};
Me and my ninja mateys here in Norg worked day and night and night and day to come up wit' some new-fangled ninjutsu. But we made it a little too fangled...${prompt};
...and we were neber-eber able to use it. So we trew da ting into one of Norg's baults, and forgot about it. Where did you find dat anyway?${prompt};
You caught it fishin'? Dis's gotta be da work ob dem fishy-washy Sahagin.${prompt};
Dey probably trew it away when dey saw it was blank. Dey didn't know der's a special way to make the writin' bisable.${prompt};
What does it say? Oh, I forgot dat years ago. But I do remember how to read it.${prompt};
Yeah, it was dat metod dat prebented us from usin' da scroll in da first place... But anyway, take dat ${item-singular: 0[2]} to da hot spring on Horlais Peak.${prompt};
When ya put da scroll in da water, da letters will appear, and boila-la! You're done!${prompt};
Why all da way to Horlais Peak? Well, if it was easy to get dere, wouldn't be much ob a super-special secret scroll now, would it?${prompt};
Da only reason we stopped makin' dem was because nobody-buddy wanted to walk all da way to dose hot springs...${prompt};
If you wanna read da scroll, jus' take it to da hot spring on Horlais Peak and dip it in da water. If it's da wrong water, the words will neber appear.${prompt};
Wait! You're one of those adventurers, aren't you? You're supposed to help people out, right? Right?${prompt};
Can I ask you a favor? Can I?;
${selection-lines};
I guess.;
I'm pretty busy right now.${prompt};
Busy? Then who's going to help me? Who, ${choice-player-gender}[man/lady], who? Tell me who!${prompt};
You're back!${prompt};
Great! If it wasn't for you, who knows what I'd do. I really need some help. This should be no problem for you. Really, it shouldn't.${prompt};
You know that the cave you used to get here is called the Sea Serpent Grotto, right? And you already know about those fishy-looking Sahagin that live down there, don't you?${prompt};
Well, I need you to go and get me something from their hidden vault. That's not too hard, is it? I mean, this is a matter of life or death! Life or death!${prompt};
Before the Sahagin took over, the pirates here used to use the grotto as a storage area. To protect their treasure from thieves...and themselves, they built numerous hidden doors.${prompt};
Recently the Sahagin have added tricks and traps to those doors, so you have to watch out. There's no way I could do it myself, but you? You can do it! I know you can!${prompt};
From what I heard, the treasure vault is not that deep in the grotto. All you have to do is go down there and bring me back something--anything! You're not going to back out on me, are you? Are you?${prompt};
You're back! You did it! I can't believe it!;
So, what did you bring me? ${lettercase: 1}${keyitem-article: 0[2]}? I heard that the Sahagin worship these things. Pretty good work for a fish, wouldn't you say?${prompt};
Oh yeah, your reward. Here, take this.;
What am I going to do with this? That's none of your business!${prompt};
'Old on there. Yer that adventurer, ${name-player}, everybody's talkin' 'bout. Perfect timin' there, matey. I need a hand.${prompt};
That storage room I jus' mentioned--I need somebody t'go down there and fetch me ${keyitem-article: 0[2]}. Unless the Sahagin have thrown 'er in the sea, she should still be down there.${prompt};
Don't think I'd ask ya t'go down for nothin' now, would ya? There's a pretty penny in it fer ya, if yer interested.${prompt};
Whaddaya say, matey?;
${selection-lines};
Arrrg, sign me up.;
I forgot my eye patch at home.${prompt};
Well, ya can't go huntin' fer booty without yer eye patch...${prompt};
So, yer ready to hunt fer some booty?${prompt};
Spoken like a true pirate! Just go down t'the storage room and bring back the booty. It be as simple as takin' candy from a baby.${prompt};
I'll be waitin' 'ere for ya.${prompt};
Where's the storage room? Remember passin' by a false door on yer way to Norg? There's a 'idden door to the west of that one, but if ya don't have ${keyitem-article: 0[2]}, ya may have some trouble.${prompt};
Stay along the walls and ya should find a hidden passageway. Ya made it t'Norg, so findin' it should be no problem. Jus' watch out fer the monsters lurkin' down there.${prompt};
That's what I was lookin' fer! Now, when openin' these, ya gotta be careful of traps. Ya do this...then turn this...then wiggle this...then...${prompt};
Arrrg! Its contents are still intact after all these years. Oh yeah, yer reward. Take this. It'll come in handy on yer landlubbin' adventures.${prompt};
Rottin' floor, fallen crates... Condition of me storage room don't sound so good. I'll have t'head down there with me mateys t'check it out.${prompt};
Arrrg, make sure ya stop by Kazham and visit the Chieftainness, Jakoh Wahcondalo, before heading off t'the Temple of Uggalepih.${prompt};
If ya tell her I sent ya, she should give ya some help. Now get a move on! There's no time t'lose.${prompt};
So we needs ${keyitem-article: 6[2]} to get deeper into the temple... Even I don't know what lurks down there.${prompt};
I can see potential in you, ${name-player}, but don't go doin' anything stupid now. We want to sees you back 'ere in one piece!${prompt};
Seven stone monuments? Arrrg, me thinks me saw one in the Yuhtunga or Yhoator Jungle. Can't remember which one, though...${prompt};
And that be all me knows. Maybe ya saw one o' 'em durin' a mission ya went on. Try t'remember. If ya can't, ya can always ask yer adventurin' mateys.${prompt};
I'm sorry that I have no more t'tell ya. If that old bat in the temple hadn't been so secretive...${prompt};
Arrrg! You've gathered all the jewels! You'd make a mighty fine pirate. No wonder me daughter likes ya. Now all ya have t'do is take those to the ancient temple on Zepwell Island.${prompt};
You'll find Zepwell Island off the southwest tip of Quon. What, you say that's where you found one of the stone monuments? Well, then ya don't need me directions now, do ya?${prompt};
Delkfutt's Tower?;
I jus' got some information 'bout Verena. If that piece of info is correct, then that tower is where Verena has been taken!${prompt};
And t'make things worse, our Zilart friends from Jeuno seem t'be involved. I've already sent some of me mateys t'help Aldo, but I have a bad feelin' about this. Hurry t'Qufim!${prompt};
We here at Norg sometimes do business in and around the Sanctuary of Zi'Tah. One big forest, that place is.${prompt};
No, it ain't nothin' like the jungles around here, but it sure be full of surprises. Don't go gettin' caught up in the scenery, or ya may find yourself lost!${prompt};
ãƒ©ã‚¤ã‚ªãƒ³ã®è©±${prompt};
We made Norg our headquarters about thirty years ago.${prompt};
The Crystal War and the unification of countries...all this was unthinkable back then.${prompt};
They were hard times, but no one had their complaints.${prompt};
ãƒ©ã‚¤ã‚ªãƒ³ã®è©±${prompt};
Open the door?;
${selection-lines};
Yes.;
No.${prompt};
${color-alt: 121}Target out of range.${prompt};
That guy Rafid over there was the only survivor after a sea monster attacked his ship.${prompt};
One of our ships found him floating in the water and brought him back here. He is lucky to be alive, but he has lost his memory.${prompt};
Though even with the loss, he hasn't forgot the tricks of his trade. He's one of the best workers we have here.${prompt};
Get his memory back? I'd like to see that as much as the next guy. If only there was some way...${prompt};
When we pirates attack other ships, we call up the souls of those lost at sea to do our dirty work. It's a little bit different from the summoning magic you adventurers use.${prompt};
But don't ask me to explain how. I ain't no magician, you know.${prompt};
You're lookin' for a Rent-a-Room, are ya? What? You miss your bed in yer homeland, eh? Poor adventurer! Ya have any tissue? I can't stop crying.${prompt};
Go down those stairs and turn right. Head through that cave and you'll find the auction house.${prompt};
In front of the auction house you'll find some moogles. Ya can cuddle up with one of those if yer afraid of the dark.${prompt};
Donya tink ninja's da bestest job in da wald? Two weapons in hand on da battlefield. Two fryin' pans at home in da kitchen.${prompt};
But ninjas aren't all about cookin'. Dere was dis one ten years ago dat was stronger dan stronger dan strong.${prompt};
At da time, people eben said dat she was stronger dan Gilgamesh! I fought wit her many a time, but I could neber match her skill.${prompt};
If only she was still around... You coulda asked her all about how t'be a ninja!${prompt};
Haven't seen ya 'round these parts, landlubber. Must be one'a those new-fangled adventurers. So, how ya likin' our hideout?${prompt};
When Ifrit, Lord of the Inferno,;
Woke from his age-old slumber,;
Magma poured from the jagged cracks,;
As the ocean floor ripped asunder.${prompt};
Maybe Ifrit's Cauldron on Mount Yuhtunga gets its name from this old island poem. I used to think that Ifrit was just a constellation, but maybe he really does exist...${prompt};
Take a look at me! Don't you think I'm pretty big for a Tarutaru? The mucho-macho Gabide next to me says he's small for a Galka, but he's still three times my size!${prompt};
I hope someday I'll grow up to be as big as the Great Star Tree back in my hometown.${prompt};
Not gonna happen, huh...${prompt};
My name's Gabide. My adventures as a paladin have taken me all over Vana'diel, but I'd have to say this sea cave would have to top my list of amazing places.${prompt};
And to think that this is the hideout of the pirates who attacked me when I was still a young adventurer... But if it wasn't for that fateful day, I wouldn't be who I am now.${prompt};
When you think about it that way, I guess I can't get too angry about what happened.${prompt};
The volcano on this island, Mount Yuhtunga, is still active. They say that Elshimo was created when it erupted thousands of years ago.${prompt};
What, is the baby adventurer lost? I don't have time for babysittin' landlubbers like you. You got a brain--use it!${prompt};
We pirates call tha cave connectin' Norg t'tha mainland the â€œSea Serpent Grotto.â€ Just like there be beastmen on tha continents, tha grotto has its share of slimy dwellers. Namely, tha Sahagin.${prompt};
And t'make things worse, those nasty little beasts have filled tha place up with trick doors so ya can't get t'tha deeper parts of the cave.${prompt};
We used t'have a vault down there, but nobody's been able t'get close to it fer years.${prompt};
For guys like us that live on the sea, you adventurers sure come in handy. You're our only source of info from the mainland.${prompt};
But once you head out into the wide open sea...now that's our territory. If we get your ship in our sights, there's no escapin'. We may be friends today, but who knows about tomorrow?${prompt};
Hello, ${choice-player-gender}[sir/ma'am]. My name is Rafid, but that's all I remember about my past. I came here a year ago when my ship was attacked and I was rescued by the pirates.${prompt};
The jungle that covers this island is so big, it's been divided into two--the Yhoator Jungle and the Yuhtunga Jungle.${prompt};
I wouldn't recommend traveling without a map, since you could get lost, or...eaten. Remember, it's a jungle out there.;
Har har! Get it?${prompt};
We deal in all sorts of goods that you won't find in your everyday living room. No sir-ee. Looking at stuff like this reminds me of how diverse this wide, wide world is.${prompt};
This door leads to the quarters of our leader, Gilgamesh. He doesn't waste his time with landlubbin' worms like you, so get out of my face before I give ya a personal tour of Davy Jones' locker.${prompt};
So you're the adventurer they call ${name-player}. I've heard about you from our leader. You can pass, but you'd best watch your mouth around him, or you'll be swimmin' with the fishes.${prompt};
I'm the gaudy-bodyguard of this place. You make one wrong move, and I will smack and kick and punch and whack and pummel and smash and crush and grind your bones into powder...and then kick you some more.${prompt};
You follow the rules, I'll let you live. You break them, I break you.${prompt};
Gah-hah-hah! You're probably wonderin' what the hell an auction house's doin' down here in these damn caves. We're pirates, whaddaya expect?${prompt};
Hey, ${choice-player-gender}[mister/lady]! This way to the exit.;
You don't happen to have any extra gil, do ya? I'm savin' up for a new pet parrot.${prompt};
Hey, you're an adventurer, right? Go through this tunnel and you'll get to the auction house. And say hi to the moogles for me!${prompt};
Unlike armor, the strength of a weapon depends solely on the skill of its owner. Just because one's blade is sharp doesn't mean one can wield it to its full potential.${prompt};
But an adventurer such as yourself would have already known that...${prompt};
You ever heard of those lantern-swingin', knife-wieldin' Tonberries? Travel to the old temple in the Yhoator Jungle and you'll get your fill of the little beasts.${prompt};
Deep within the Sea Serpent Grotto, the Sahagin have built a special door that can only be opened with ${article} ${item-article: 1[2]}.${prompt};
Ya say ya want ${article} ${item-article: 1[2]}? Ha! Why don't ya try askin' one of the lil' devils?${prompt};
Welcome t'Norg. Feel free t'have a look about our headquarters.${prompt};
Hold on there, ${choice-player-gender}[buddy/lady]. Nobody, not even adventurers, is allowed through here.${prompt};
Heh-heh-heh. Feast your eyes on these beauties. You won't find stuff like this anywhere!${prompt};
Please, stay and have a look. You may find something you can only buy here.${prompt};
Can I interest you in some armor forged in the surrounding regions?${prompt};
Magic scrolls! Magic scrolls! We've got parchment hot off the sheep!${prompt};
Hiya! I can deliver packages to anybody, anywhere, anytime. What do you say?${prompt};
We can deliver parcels to any residence in Vana'diel.${prompt};
Welcome to Norg's auction house. How may I be of service?${prompt};
Money can't buy you love, but it can get you some pretty good stuff. How can I help you?${prompt};
What, ya gotta problem with me usin' a barrel? Ya think I'm too short? Shaddup 'n tell me what ya want.${prompt};
Wh-what...huh...oh! I don't get many people talking to me, the number â€œ4â€ clerk... What can I do you for?${prompt};
The door is locked tight.${prompt};
å€‹äººãƒ‡ãƒãƒƒã‚°ç”¨ãƒ¡ãƒ‹ãƒ¥ãƒ¼;
${selection-lines};
ã‚­ãƒ£ãƒ³ã‚»ãƒ«;
ãƒ¯ãƒ¼ãƒ—;
ã‚«ãƒ¡ãƒ©ãƒ­ãƒ¼ãƒ‰;
ã‚¤ãƒ™ãƒ³ãƒˆãƒã‚§ãƒƒã‚¯;
ãƒŸãƒ¥ãƒ¼ã‚¸ãƒƒã‚¯;
ãƒŸãƒ¥ãƒ¼ã‚¸ãƒƒã‚¯EX;
ã‚·ãƒŠãƒªã‚ªè¨­å®š;
ã„ã‚ã„ã‚ãƒã‚§ãƒƒã‚¯${prompt};
ã‚¸ãƒ£ãƒ³ãƒ—å…ˆã‚’é¸æŠž;
${selection-lines};
èˆ¹é•·å®¤;
2éšŽå»Šä¸‹;
ç«¶å£²æ‰€;
å…¥ã‚Šå£${prompt};
ã‚¤ãƒ™ãƒ³ãƒˆã‚’é¸æŠž;
${selection-lines};
ç”¦ã‚‹è¨˜æ†¶(çŸ­ç¸®ç‰ˆ);
æµ·è³Šã®é ­;
æ»…ã³ã®ç¥žæ®¿${prompt};
ã‚¸ãƒ©ãƒ¼ãƒˆã®å¹»å½±ãƒ¡ãƒ‹ãƒ¥ãƒ¼;
${selection-lines};
ãªã«ã‚‚ã—ãªã„;
ãƒ‡ãƒ«ã‚¯ãƒ•ã®å¡”çµ‚äº†ã¾ã§;
ãƒ©ã‚¹ãƒˆãƒãƒˆãƒ«ã¾ã§;
